id,effective_status,city,state,canonical_filename,verified_canonical,manual_primary_raw,duplicate_raws,all_mapped_raws,candidate_count,notes
001,VERIFIED_CANONICAL,New York,Day — Clear,001-new-york-day-clear.png,True,,,,0,Included from prior completed-good archive.
002,VERIFIED_CANONICAL,New York,Night — Rain,002-new-york-night-rain.png,True,,,,0,Included from prior completed-good archive.
003,VERIFIED_CANONICAL,Chicago,Day — Snow,003-chicago-day-snow.png,True,,,,0,Included from prior completed-good archive.
004,VERIFIED_CANONICAL,Chicago,Night — Clear,004-chicago-night-clear.png,True,,,,0,Included from prior completed-good archive.
005,VERIFIED_CANONICAL,Tokyo,Day — Clear,005-tokyo-day-clear.png,True,,,,0,Included from prior completed-good archive.
006,VERIFIED_CANONICAL,Tokyo,Night — Rain,006-tokyo-night-rain.png,True,,,,0,Included from prior completed-good archive.
007,VERIFIED_CANONICAL,Paris,Day — Cloudy/Foggy,007-paris-day-cloudy-foggy.png,True,,,,0,Included from prior completed-good archive.
008,VERIFIED_CANONICAL,Paris,Night — Clear,008-paris-night-clear.png,True,,,,0,Included from prior completed-good archive.
009,VERIFIED_CANONICAL,San Francisco,Day — Clear,009-san-francisco-day-clear.png,True,,,,0,Included from prior completed-good archive.
010,VERIFIED_CANONICAL,San Francisco,Day — Cloudy/Foggy,010-san-francisco-day-cloudy-foggy.png,True,,,,0,Included from prior completed-good archive.
011,VERIFIED_CANONICAL,Los Angeles,Day — Clear,011-los-angeles-day-clear.png,True,,,,0,Included from prior completed-good archive.
012,VERIFIED_CANONICAL,Chicago,Day — Clear,012-chicago-day-clear.png,True,,,,0,Included from prior completed-good archive.
013,VERIFIED_CANONICAL,Boston,Day — Clear,013-boston-day-clear.png,True,,,,0,Included from prior completed-good archive.
014,VERIFIED_CANONICAL,Paris,Day — Clear,014-paris-day-clear.png,True,,,,0,Included from prior completed-good archive.
015,VERIFIED_CANONICAL,Hong Kong,Day — Clear,015-hong-kong-day-clear.png,True,,,,0,Included from prior completed-good archive.
016,VERIFIED_CANONICAL,Kyoto,Day — Clear,016-kyoto-day-clear.png,True,,,,0,Included from prior completed-good archive.
017,VERIFIED_CANONICAL,Shanghai,Day — Clear,017-shanghai-day-clear.png,True,,,,0,Included from prior completed-good archive.
018,VERIFIED_CANONICAL,London,Day — Clear,018-london-day-clear.png,True,,,,0,Included from prior completed-good archive.
019,VERIFIED_CANONICAL,Singapore,Day — Clear,019-singapore-day-clear.png,True,,,,0,Included from prior completed-good archive.
020,VERIFIED_CANONICAL,Seoul,Day — Clear,020-seoul-day-clear.png,True,,,,0,Included from prior completed-good archive.
021,VERIFIED_CANONICAL,Beijing,Day — Clear,021-beijing-day-clear.png,True,,,,0,Included from prior completed-good archive.
022,VERIFIED_CANONICAL,Dubai,Day — Clear,022-dubai-day-clear.png,True,,,,0,Included from prior completed-good archive.
023,VERIFIED_CANONICAL,Sydney,Day — Clear,023-sydney-day-clear.png,True,,,,0,Included from prior completed-good archive.
024,VERIFIED_CANONICAL,Toronto,Day — Clear,024-toronto-day-clear.png,True,,,,0,Included from prior completed-good archive.
025,VERIFIED_CANONICAL,Vancouver,Day — Clear,025-vancouver-day-clear.png,True,,,,0,Included from prior completed-good archive.
026,VERIFIED_CANONICAL,Mexico City,Day — Clear,026-mexico-city-day-clear.png,True,,,,0,Included from prior completed-good archive.
027,VERIFIED_CANONICAL,São Paulo,Day — Clear,027-sao-paulo-day-clear.png,True,,,,0,Included from prior completed-good archive.
028,VERIFIED_CANONICAL,Rio de Janeiro,Day — Clear,028-rio-de-janeiro-day-clear.png,True,,,,0,Included from prior completed-good archive.
029,VERIFIED_CANONICAL,Buenos Aires,Day — Clear,029-buenos-aires-day-clear.png,True,,,,0,Standalone image generated in the current conversation and added under the canonical filename.
030,VERIFIED_CANONICAL,Madrid,Day — Clear,030-madrid-day-clear.png,True,,,,0,Included from prior completed-good archive. Archive 1 filename numbering was corrected by content: source 029 -> canonical 030.
031,VERIFIED_CANONICAL,Barcelona,Day — Clear,031-barcelona-day-clear.png,True,,,,0,Included from prior completed-good archive. Archive 1 filename numbering was corrected by content: source 030 -> canonical 031.
032,VERIFIED_CANONICAL,Rome,Day — Clear,032-rome-day-clear.png,True,,,,0,Included from prior completed-good archive. Archive 1 filename numbering was corrected by content: source 031 -> canonical 032.
033,VERIFIED_CANONICAL,Milan,Day — Clear,033-milan-day-clear.png,True,,,,0,Standalone image generated in the current conversation and added under the canonical filename.
034,VERIFIED_CANONICAL,Berlin,Day — Clear,034-berlin-day-clear.png,True,,,,0,Standalone image generated in the current conversation and added under the canonical filename.
035,VERIFIED_CANONICAL,Amsterdam,Day — Clear,035-amsterdam-day-clear.png,True,,,,0,Standalone image generated in the current conversation and added under the canonical filename.
036,VERIFIED_CANONICAL,Vienna,Day — Clear,036-vienna-day-clear.png,True,,,,0,Primary mapped image selected from corrected-original archive.
037,VERIFIED_CANONICAL,Prague,Day — Clear,037-prague-day-clear.png,True,,,,0,Standalone image generated in the current conversation and added under the canonical filename.
038,VERIFIED_CANONICAL,Istanbul,Day — Clear,038-istanbul-day-clear.png,True,,,,0,Standalone image generated in the current conversation and added under the canonical filename.
039,VERIFIED_CANONICAL,Cairo,Day — Clear,039-cairo-day-clear.png,True,,,,0,Primary mapped image selected from corrected-original archive.
040,VERIFIED_CANONICAL,Cape Town,Day — Clear,040-cape-town-day-clear.png,True,,,,0,Standalone image generated in the current conversation and added under the canonical filename.
041,VERIFIED_CANONICAL,Nairobi,Day — Clear,041-nairobi-day-clear.png,True,,,,0,Standalone image generated in the current conversation and added under the canonical filename.
042,VERIFIED_CANONICAL,Bangkok,Day — Clear,042-bangkok-day-clear.png,True,,,,0,Standalone image generated in the current conversation and added under the canonical filename.
043,VERIFIED_CANONICAL,Mumbai,Day — Clear,043-mumbai-day-clear.png,True,,,,0,Standalone image generated in the current conversation and added under the canonical filename.
044,VERIFIED_CANONICAL,Delhi,Day — Clear,044-delhi-day-clear.png,True,,,,0,Visual content match: India Gate / Delhi day clear.
